function	op_address	mnemonic	matched_constants	pcode
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a6c, 2) INDIRECT (ram, 0x8c096a6c, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a6e, 2) INDIRECT (ram, 0x8c096a6e, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a70, 2) INDIRECT (ram, 0x8c096a70, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a72, 2) INDIRECT (ram, 0x8c096a72, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a74, 2) INDIRECT (ram, 0x8c096a74, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a76, 2) INDIRECT (ram, 0x8c096a76, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a78, 4) INDIRECT (ram, 0x8c096a78, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a7c, 4) INDIRECT (ram, 0x8c096a7c, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a80, 4) INDIRECT (ram, 0x8c096a80, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a84, 4) INDIRECT (ram, 0x8c096a84, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a88, 4) INDIRECT (ram, 0x8c096a88, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096a8c, 4) INDIRECT (ram, 0x8c096a8c, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bda, 2) INDIRECT (ram, 0x8c096bda, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bdc, 2) INDIRECT (ram, 0x8c096bdc, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bde, 2) INDIRECT (ram, 0x8c096bde, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096be0, 2) INDIRECT (ram, 0x8c096be0, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096be2, 2) INDIRECT (ram, 0x8c096be2, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096be4, 2) INDIRECT (ram, 0x8c096be4, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096be6, 2) INDIRECT (ram, 0x8c096be6, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096be8, 2) INDIRECT (ram, 0x8c096be8, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bec, 4) INDIRECT (ram, 0x8c096bec, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bf0, 4) INDIRECT (ram, 0x8c096bf0, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bf4, 4) INDIRECT (ram, 0x8c096bf4, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bf8, 4) INDIRECT (ram, 0x8c096bf8, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096bfc, 4) INDIRECT (ram, 0x8c096bfc, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096c00, 4) INDIRECT (ram, 0x8c096c00, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096c04, 4) INDIRECT (ram, 0x8c096c04, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096c08, 4) INDIRECT (ram, 0x8c096c08, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096c0c, 4) INDIRECT (ram, 0x8c096c0c, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d6e, 2) INDIRECT (ram, 0x8c096d6e, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d70, 2) INDIRECT (ram, 0x8c096d70, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d72, 2) INDIRECT (ram, 0x8c096d72, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d74, 2) INDIRECT (ram, 0x8c096d74, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d76, 2) INDIRECT (ram, 0x8c096d76, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d78, 2) INDIRECT (ram, 0x8c096d78, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d7a, 2) INDIRECT (ram, 0x8c096d7a, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d7c, 2) INDIRECT (ram, 0x8c096d7c, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d80, 4) INDIRECT (ram, 0x8c096d80, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d84, 4) INDIRECT (ram, 0x8c096d84, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d88, 4) INDIRECT (ram, 0x8c096d88, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d8c, 4) INDIRECT (ram, 0x8c096d8c, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d90, 4) INDIRECT (ram, 0x8c096d90, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d94, 4) INDIRECT (ram, 0x8c096d94, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096d98, 4) INDIRECT (ram, 0x8c096d98, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096eb4, 2) INDIRECT (ram, 0x8c096eb4, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096eb6, 2) INDIRECT (ram, 0x8c096eb6, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096eb8, 2) INDIRECT (ram, 0x8c096eb8, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096eba, 2) INDIRECT (ram, 0x8c096eba, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ebc, 2) INDIRECT (ram, 0x8c096ebc, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ebe, 2) INDIRECT (ram, 0x8c096ebe, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ec0, 2) INDIRECT (ram, 0x8c096ec0, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ec2, 2) INDIRECT (ram, 0x8c096ec2, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ec4, 2) INDIRECT (ram, 0x8c096ec4, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ec6, 2) INDIRECT (ram, 0x8c096ec6, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ec8, 2) INDIRECT (ram, 0x8c096ec8, 2) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ecc, 4) INDIRECT (ram, 0x8c096ecc, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ed0, 4) INDIRECT (ram, 0x8c096ed0, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ed4, 4) INDIRECT (ram, 0x8c096ed4, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ed8, 4) INDIRECT (ram, 0x8c096ed8, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096edc, 4) INDIRECT (ram, 0x8c096edc, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ee0, 4) INDIRECT (ram, 0x8c096ee0, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ee4, 4) INDIRECT (ram, 0x8c096ee4, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096ee8, 4) INDIRECT (ram, 0x8c096ee8, 4) , (const, 0x16c, 4)
8c096928	8c096e64	INDIRECT	0x16c	(ram, 0x8c096eec, 4) INDIRECT (ram, 0x8c096eec, 4) , (const, 0x16c, 4)
