function	op_address	mnemonic	matched_constants	pcode
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c041f20, 2) INDIRECT (ram, 0x8c041f20, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c041f22, 2) INDIRECT (ram, 0x8c041f22, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c041f24, 4) INDIRECT (ram, 0x8c041f24, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c041f28, 4) INDIRECT (ram, 0x8c041f28, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c041f2c, 4) INDIRECT (ram, 0x8c041f2c, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420a8, 2) INDIRECT (ram, 0x8c0420a8, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420aa, 2) INDIRECT (ram, 0x8c0420aa, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420ac, 2) INDIRECT (ram, 0x8c0420ac, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420ae, 2) INDIRECT (ram, 0x8c0420ae, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420b0, 2) INDIRECT (ram, 0x8c0420b0, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420b2, 2) INDIRECT (ram, 0x8c0420b2, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420b4, 2) INDIRECT (ram, 0x8c0420b4, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420b6, 2) INDIRECT (ram, 0x8c0420b6, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420b8, 2) INDIRECT (ram, 0x8c0420b8, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420ba, 2) INDIRECT (ram, 0x8c0420ba, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420bc, 2) INDIRECT (ram, 0x8c0420bc, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420be, 2) INDIRECT (ram, 0x8c0420be, 2) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420c0, 4) INDIRECT (ram, 0x8c0420c0, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420c4, 4) INDIRECT (ram, 0x8c0420c4, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420c8, 4) INDIRECT (ram, 0x8c0420c8, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420cc, 4) INDIRECT (ram, 0x8c0420cc, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420d0, 4) INDIRECT (ram, 0x8c0420d0, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420d4, 4) INDIRECT (ram, 0x8c0420d4, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420d8, 4) INDIRECT (ram, 0x8c0420d8, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420dc, 4) INDIRECT (ram, 0x8c0420dc, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420e0, 4) INDIRECT (ram, 0x8c0420e0, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420e4, 4) INDIRECT (ram, 0x8c0420e4, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420e8, 4) INDIRECT (ram, 0x8c0420e8, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420ec, 4) INDIRECT (ram, 0x8c0420ec, 4) , (const, 0x16c, 4)
8c041ec8	8c042310	INDIRECT	0x16c	(ram, 0x8c0420f0, 4) INDIRECT (ram, 0x8c0420f0, 4) , (const, 0x16c, 4)
