function	op_address	mnemonic	matched_constants	pcode
8c0461d8	8c04626e	INDIRECT	0x110	(ram, 0x8c046278, 4) INDIRECT (ram, 0x8c046278, 4) , (const, 0x110, 4)
8c0461d8	8c04626e	INDIRECT	0x110	(ram, 0x8c04627c, 4) INDIRECT (ram, 0x8c04627c, 4) , (const, 0x110, 4)
8c0461d8	8c04626e	INDIRECT	0x110	(ram, 0x8c046280, 4) INDIRECT (ram, 0x8c046280, 4) , (const, 0x110, 4)
8c0461d8	8c04626e	INDIRECT	0x110	(ram, 0x8c046284, 4) INDIRECT (ram, 0x8c046284, 4) , (const, 0x110, 4)
8c0461d8	8c04626e	INDIRECT	0x110	(ram, 0x8c046288, 4) INDIRECT (ram, 0x8c046288, 4) , (const, 0x110, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0x210, 8) INDIRECT (register, 0x210, 8) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0x218, 8) INDIRECT (register, 0x218, 8) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0x220, 8) INDIRECT (register, 0x220, 8) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0x238, 8) INDIRECT (register, 0x238, 8) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0xa05, 1) INDIRECT (register, 0xa05, 1) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0xa06, 1) INDIRECT (register, 0xa06, 1) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06505e, 2) INDIRECT (ram, 0x8c06505e, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065060, 2) INDIRECT (ram, 0x8c065060, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065062, 2) INDIRECT (ram, 0x8c065062, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065064, 2) INDIRECT (ram, 0x8c065064, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065066, 2) INDIRECT (ram, 0x8c065066, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065068, 2) INDIRECT (ram, 0x8c065068, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06506a, 2) INDIRECT (ram, 0x8c06506a, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06506c, 4) INDIRECT (ram, 0x8c06506c, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065070, 4) INDIRECT (ram, 0x8c065070, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065074, 4) INDIRECT (ram, 0x8c065074, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065078, 4) INDIRECT (ram, 0x8c065078, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06507c, 4) INDIRECT (ram, 0x8c06507c, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065080, 4) INDIRECT (ram, 0x8c065080, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065084, 4) INDIRECT (ram, 0x8c065084, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065088, 4) INDIRECT (ram, 0x8c065088, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06511e, 2) INDIRECT (ram, 0x8c06511e, 2) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065120, 4) INDIRECT (ram, 0x8c065120, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065124, 4) INDIRECT (ram, 0x8c065124, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065128, 4) INDIRECT (ram, 0x8c065128, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c06512c, 4) INDIRECT (ram, 0x8c06512c, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065130, 4) INDIRECT (ram, 0x8c065130, 4) , (const, 0x16c, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(ram, 0x8c065134, 4) INDIRECT (ram, 0x8c065134, 4) , (const, 0x16c, 4)
