function	op_address	mnemonic	matched_constants	pcode
8c018afc	8c019022	INDIRECT	0xac	(stack, 0xffffffffffffffe8, 8) INDIRECT (stack, 0xffffffffffffffe8, 8) , (const, 0xac, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x0, 4) INDIRECT (stack, 0x0, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x4, 4) INDIRECT (stack, 0x4, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x8, 4) INDIRECT (stack, 0x8, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0xc, 4) INDIRECT (stack, 0xc, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x14, 4) INDIRECT (stack, 0x14, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x18, 4) INDIRECT (stack, 0x18, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x1c, 4) INDIRECT (stack, 0x1c, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x20, 4) INDIRECT (stack, 0x20, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x24, 4) INDIRECT (stack, 0x24, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x28, 4) INDIRECT (stack, 0x28, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x2c, 4) INDIRECT (stack, 0x2c, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x30, 4) INDIRECT (stack, 0x30, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x34, 4) INDIRECT (stack, 0x34, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x38, 4) INDIRECT (stack, 0x38, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x3c, 4) INDIRECT (stack, 0x3c, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x40, 1) INDIRECT (stack, 0x40, 1) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x44, 4) INDIRECT (stack, 0x44, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x48, 2) INDIRECT (stack, 0x48, 2) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x4c, 2) INDIRECT (stack, 0x4c, 2) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x50, 1) INDIRECT (stack, 0x50, 1) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x54, 4) INDIRECT (stack, 0x54, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x58, 4) INDIRECT (stack, 0x58, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x5c, 2) INDIRECT (stack, 0x5c, 2) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x64, 4) INDIRECT (stack, 0x64, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x68, 4) INDIRECT (stack, 0x68, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x6c, 4) INDIRECT (stack, 0x6c, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x70, 4) INDIRECT (stack, 0x70, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x74, 4) INDIRECT (stack, 0x74, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x78, 4) INDIRECT (stack, 0x78, 4) , (const, 0x278, 4)
8c0479f2	8c047666	INDIRECT	0x278	(stack, 0x7c, 4) INDIRECT (stack, 0x7c, 4) , (const, 0x278, 4)
8c064f04	8c064fd8	INDIRECT	0x16c	(register, 0x210, 8) INDIRECT (register, 0x210, 8) , (const, 0x16c, 4)
