target	from	ref_type	caller_entry	caller_name
8c079a92	8c09ae08	COMPUTED_CALL	8c09ad3c	FUN_8c09ad3c
8c079a92	8c09ae52	COMPUTED_CALL	8c09ad3c	FUN_8c09ad3c
8c079ace	8c0741c8	COMPUTED_CALL	8c073f36	FUN_8c073f36
8c079ace	8c09ae24	COMPUTED_CALL	8c09ad3c	FUN_8c09ad3c
8c079ace	8c09af92	COMPUTED_CALL	8c09ad3c	FUN_8c09ad3c
8c079a5c	8c0760b4	COMPUTED_CALL	8c075a78	FUN_8c075a78
8c079a5c	8c097db6	COMPUTED_CALL	8c09758c	FUN_8c09758c
8c079a5c	8c097b42	COMPUTED_CALL	8c09758c	FUN_8c09758c
8c079a5c	8c09a324	COMPUTED_CALL	8c09a2c0	FUN_8c09a2c0
8c079a5c	8c09a35e	COMPUTED_CALL	8c09a2c0	FUN_8c09a2c0
8c079a5c	8c097b32	DATA	8c09758c	FUN_8c09758c
8c079a80	8c075e70	COMPUTED_CALL	8c075a78	FUN_8c075a78
