ptrAddr	resolvedAddr	functionEntry	functionName	callerCount
0x8c07fdb8	8c09e7c8	8c09e7c8	__bfxbu	66
0x8c07fdbc	8c089b1e	8c089b1e	FUN_8c089b1e	2
0x8c07fdb0	00840a98	(none)	(none)	0
0x8c07fdaa	008c0ab0	(none)	(none)	0
0x8c07fda8	0ab015f4	(none)	(none)	0
0x8c080048	8c09e7c8	8c09e7c8	__bfxbu	(duplicate)
0x8c08004c	8c085170	8c085170	FUN_8c085170	8
0x8c080050	8c09e7e4	8c09e7e4	FUN_8c09e7e4	1631
0x8c080138	8c09e7c8	8c09e7c8	__bfxbu	(duplicate)
0x8c0803fc	8c087bf8	8c087bf8	FUN_8c087bf8	2
0x8c080400	8c08d534	8c08d534	FUN_8c08d534	9
0x8c080404	8c09e7e4	8c09e7e4	FUN_8c09e7e4	(duplicate)
0x8c080408	8c08bbec	8c08bbec	FUN_8c08bbec	8
0x8c08040c	8c0856f0	8c0856f0	FUN_8c0856f0	11
0x8c080410	8c0874b8	8c0874b8	FUN_8c0874b8	2
0x8c07fdc4	8c1bc860	(none)	(none)	0
0x8c07fdcc	8c0935b0	8c0935b0	FUN_8c0935b0	77
0x8c07fdd0	8c085170	8c085170	FUN_8c085170	(duplicate)
0x8c07fdd4	8c09e7e4	8c09e7e4	FUN_8c09e7e4	(duplicate)
0x8c08012a	40000080	(none)	(none)	0
0x8c08012c	00004000	(none)	(none)	0
0x8c08013c	00008000	(none)	(none)	0
