# Functions with BOTH 0x008c literal refs AND small-offset reads in [0x24, 0xa4)
# These are candidate cmd=2 sync struct consumers (powerup state readers).

8c112f0c FUN_8c112f0c -> 1 0x008c lits, reads at: 0x28
8c15abb4 FUN_8c15abb4 -> 1 0x008c lits, reads at: 0x38
8c177038 FUN_8c177038 -> 2 0x008c lits, reads at: 0x24 0x3c
8c113a56 FUN_8c113a56 -> 2 0x008c lits, reads at: 0x34
8c0ab03e FUN_8c0ab03e -> 1 0x008c lits, reads at: 0x30
8c1e6ac6 FUN_8c1e6ac6 -> 1 0x008c lits, reads at: 0x28 0x2c
8c1f247e _mwRnaSetTransSw -> 1 0x008c lits, reads at: 0x2c
8c15c87c FUN_8c15c87c -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c20fa28 _mwRnv2GetNumRoomTex -> 1 0x008c lits, reads at: 0x24
8c0c0ab4 FUN_8c0c0ab4 -> 1 0x008c lits, reads at: 0x30 0x2c
8c14ba76 FUN_8c14ba76 -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c
8c0944da FUN_8c0944da -> 1 0x008c lits, reads at: 0x28
8c088ecc FUN_8c088ecc -> 1 0x008c lits, reads at: 0x30 0x24 0x34 0x28 0x38 0x3c
8c12f834 FUN_8c12f834 -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c0bf2be FUN_8c0bf2be -> 1 0x008c lits, reads at: 0x34 0x38
8c0edc44 FUN_8c0edc44 -> 1 0x008c lits, reads at: 0x24 0x28
8c170e14 FUN_8c170e14 -> 1 0x008c lits, reads at: 0x30 0x3c
8c11272c FUN_8c11272c -> 1 0x008c lits, reads at: 0x30
8c08cd0a FUN_8c08cd0a -> 1 0x008c lits, reads at: 0x28
8c094318 FUN_8c094318 -> 1 0x008c lits, reads at: 0x28
8c20f9d4 _mwRnv2GetNumTxfrm -> 1 0x008c lits, reads at: 0x24
8c0edb0a FUN_8c0edb0a -> 1 0x008c lits, reads at: 0x34 0x28 0x2c
8c06b170 FUN_8c06b170 -> 2 0x008c lits, reads at: 0x24 0x28
8c1696d6 FUN_8c1696d6 -> 1 0x008c lits, reads at: 0x38
8c12e81c FUN_8c12e81c -> 1 0x008c lits, reads at: 0x30 0x34 0x38 0x2c 0x3c
8c10555a FUN_8c10555a -> 1 0x008c lits, reads at: 0x24 0x34 0x38 0x2c
8c02ecc8 FUN_8c02ecc8 -> 2 0x008c lits, reads at: 0x30 0x34 0x38 0x28 0x2c 0x3c
