function	op_address	mnemonic	matched_constants	pcode
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094100, 2) INDIRECT (ram, 0x8c094100, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094102, 2) INDIRECT (ram, 0x8c094102, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094104, 2) INDIRECT (ram, 0x8c094104, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094106, 2) INDIRECT (ram, 0x8c094106, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094108, 2) INDIRECT (ram, 0x8c094108, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c09410a, 2) INDIRECT (ram, 0x8c09410a, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c09410c, 2) INDIRECT (ram, 0x8c09410c, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c09410e, 2) INDIRECT (ram, 0x8c09410e, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094110, 2) INDIRECT (ram, 0x8c094110, 2) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094114, 4) INDIRECT (ram, 0x8c094114, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094118, 4) INDIRECT (ram, 0x8c094118, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c09411c, 4) INDIRECT (ram, 0x8c09411c, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094120, 4) INDIRECT (ram, 0x8c094120, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094124, 4) INDIRECT (ram, 0x8c094124, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094128, 4) INDIRECT (ram, 0x8c094128, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c09412c, 4) INDIRECT (ram, 0x8c09412c, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094130, 4) INDIRECT (ram, 0x8c094130, 4) , (const, 0xe0, 4)
8c093fdc	8c0940c2	INDIRECT	0xe0	(ram, 0x8c094134, 4) INDIRECT (ram, 0x8c094134, 4) , (const, 0xe0, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099372, 2) INDIRECT (ram, 0x8c099372, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099374, 2) INDIRECT (ram, 0x8c099374, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099376, 2) INDIRECT (ram, 0x8c099376, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099378, 2) INDIRECT (ram, 0x8c099378, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09937a, 2) INDIRECT (ram, 0x8c09937a, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09937c, 2) INDIRECT (ram, 0x8c09937c, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09937e, 2) INDIRECT (ram, 0x8c09937e, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099380, 2) INDIRECT (ram, 0x8c099380, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099382, 2) INDIRECT (ram, 0x8c099382, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099384, 2) INDIRECT (ram, 0x8c099384, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099386, 2) INDIRECT (ram, 0x8c099386, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099388, 4) INDIRECT (ram, 0x8c099388, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09938c, 4) INDIRECT (ram, 0x8c09938c, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099390, 4) INDIRECT (ram, 0x8c099390, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099394, 4) INDIRECT (ram, 0x8c099394, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09939c, 4) INDIRECT (ram, 0x8c09939c, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099500, 2) INDIRECT (ram, 0x8c099500, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099502, 2) INDIRECT (ram, 0x8c099502, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099504, 2) INDIRECT (ram, 0x8c099504, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099506, 2) INDIRECT (ram, 0x8c099506, 2) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099508, 4) INDIRECT (ram, 0x8c099508, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09950c, 4) INDIRECT (ram, 0x8c09950c, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099510, 4) INDIRECT (ram, 0x8c099510, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099514, 4) INDIRECT (ram, 0x8c099514, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099518, 4) INDIRECT (ram, 0x8c099518, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c09951c, 4) INDIRECT (ram, 0x8c09951c, 4) , (const, 0xe4, 4)
8c0991e4	8c099444	INDIRECT	0xe4	(ram, 0x8c099520, 4) INDIRECT (ram, 0x8c099520, 4) , (const, 0xe4, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b290, 2) INDIRECT (ram, 0x8c09b290, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b292, 2) INDIRECT (ram, 0x8c09b292, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b294, 2) INDIRECT (ram, 0x8c09b294, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b296, 2) INDIRECT (ram, 0x8c09b296, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b298, 2) INDIRECT (ram, 0x8c09b298, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b29c, 2) INDIRECT (ram, 0x8c09b29c, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b29e, 2) INDIRECT (ram, 0x8c09b29e, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2a0, 2) INDIRECT (ram, 0x8c09b2a0, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2a2, 2) INDIRECT (ram, 0x8c09b2a2, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2a6, 2) INDIRECT (ram, 0x8c09b2a6, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2a8, 2) INDIRECT (ram, 0x8c09b2a8, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2aa, 2) INDIRECT (ram, 0x8c09b2aa, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2ac, 2) INDIRECT (ram, 0x8c09b2ac, 2) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2b0, 4) INDIRECT (ram, 0x8c09b2b0, 4) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2b4, 4) INDIRECT (ram, 0x8c09b2b4, 4) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2b8, 4) INDIRECT (ram, 0x8c09b2b8, 4) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2bc, 4) INDIRECT (ram, 0x8c09b2bc, 4) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2c0, 4) INDIRECT (ram, 0x8c09b2c0, 4) , (const, 0xe0, 4)
8c09b170	8c09b274	INDIRECT	0xe0	(ram, 0x8c09b2c4, 4) INDIRECT (ram, 0x8c09b2c4, 4) , (const, 0xe0, 4)
